Entity,Code,Year,am_consumption_rate
Armenia,ARM,2016,10.017727
Armenia,ARM,2017,12.9899645
Armenia,ARM,2018,13.337215
Armenia,ARM,2019,12.602548
Armenia,ARM,2020,19.28271
Armenia,ARM,2021,15.010103
Armenia,ARM,2022,10.155555
Austria,AUT,2016,11.636425
Austria,AUT,2017,12.155595
Austria,AUT,2018,10.896752
Austria,AUT,2019,12.217182
Austria,AUT,2020,9.39604
Austria,AUT,2021,9.465207
Austria,AUT,2022,11.180478
Bangladesh,BGD,2016,23.843424
Bangladesh,BGD,2017,20.98845
Bangladesh,BGD,2018,19.797302
Bangladesh,BGD,2019,24.353333
Bangladesh,BGD,2020,24.902145
Bangladesh,BGD,2021,55.43198
Bangladesh,BGD,2022,48.947113
Belarus,BLR,2016,17.886772
Belarus,BLR,2017,20.694439
Belarus,BLR,2018,20.12279
Belarus,BLR,2019,22.954067
Belarus,BLR,2020,26.793983
Belarus,BLR,2021,20.112171
Belarus,BLR,2022,16.910587
Belgium,BEL,2016,24.575663
Belgium,BEL,2017,23.107687
Belgium,BEL,2018,22.618177
Belgium,BEL,2019,21.711246
Belgium,BEL,2020,17.009113
Belgium,BEL,2021,17.75529
Belgium,BEL,2022,20.792952
Benin,BEN,2016,22.111816
Benin,BEN,2017,27.636494
Benin,BEN,2018,23.263105
Benin,BEN,2019,18.620092
Benin,BEN,2020,15.7757435
Benin,BEN,2021,17.458641
Benin,BEN,2022,23.382936
Bhutan,BTN,2019,11.781961
Bhutan,BTN,2020,9.470717
Bhutan,BTN,2021,9.575982
Bhutan,BTN,2022,12.769004
Burkina Faso,BFA,2017,19.51261
Burkina Faso,BFA,2018,21.041296
Canada,CAN,2022,14.790742
Colombia,COL,2018,22.265644
Colombia,COL,2019,19.812557
Colombia,COL,2020,22.304657
Colombia,COL,2021,26.115873
Colombia,COL,2022,18.283798
Cote d'Ivoire,CIV,2021,16.531649
Cote d'Ivoire,CIV,2022,19.666134
Croatia,HRV,2016,19.460215
Croatia,HRV,2017,19.476248
Croatia,HRV,2018,19.852346
Croatia,HRV,2019,19.99893
Croatia,HRV,2020,16.818676
Croatia,HRV,2021,17.840157
Croatia,HRV,2022,19.899818
Cyprus,CYP,2016,28.96844
Cyprus,CYP,2017,29.49558
Cyprus,CYP,2018,28.214714
Cyprus,CYP,2019,30.565535
Cyprus,CYP,2020,29.568851
Cyprus,CYP,2021,25.782444
Cyprus,CYP,2022,34.136124
Czechia,CZE,2019,17.567469
Czechia,CZE,2020,14.068926
Czechia,CZE,2021,14.178297
Czechia,CZE,2022,17.75234
Denmark,DNK,2016,17.329245
Denmark,DNK,2017,16.5549
Denmark,DNK,2018,15.865877
Denmark,DNK,2019,15.591172
Denmark,DNK,2020,14.463073
Denmark,DNK,2021,14.562188
Denmark,DNK,2022,15.294658
East Timor,TLS,2016,6.7746153
East Timor,TLS,2017,8.0168495
East Timor,TLS,2018,6.5744495
East Timor,TLS,2019,7.783921
Egypt,EGY,2020,30.457087
Egypt,EGY,2021,33.825657
Egypt,EGY,2022,49.820892
Estonia,EST,2016,12.006966
Estonia,EST,2017,12.107325
Estonia,EST,2018,12.222214
Estonia,EST,2019,12.051421
Estonia,EST,2020,10.90743
Estonia,EST,2021,10.310436
Estonia,EST,2022,12.924988
Ethiopia,ETH,2020,10.509656
Ethiopia,ETH,2021,12.597177
Ethiopia,ETH,2022,11.317588
Finland,FIN,2016,16.63527
Finland,FIN,2017,15.121162
Finland,FIN,2018,14.794987
Finland,FIN,2019,14.117324
Finland,FIN,2020,11.455109
Finland,FIN,2021,10.932422
Finland,FIN,2022,12.172713
France,FRA,2016,26.515987
France,FRA,2017,25.580854
France,FRA,2018,26.125137
France,FRA,2019,25.864227
France,FRA,2020,21.033089
France,FRA,2021,22.37986
France,FRA,2022,25.253601
Gabon,GAB,2020,16.961391
Gabon,GAB,2021,24.650986
Georgia,GEO,2016,22.418634
Georgia,GEO,2017,25.12228
Georgia,GEO,2018,20.780441
Georgia,GEO,2019,16.467178
Georgia,GEO,2020,14.507995
Georgia,GEO,2021,25.148424
Georgia,GEO,2022,20.077005
Germany,DEU,2016,13.062739
Germany,DEU,2017,12.7912855
Germany,DEU,2018,11.954763
Germany,DEU,2019,11.657459
Germany,DEU,2020,9.261937
Germany,DEU,2021,8.43193
Germany,DEU,2022,10.49621
Hong Kong,HKG,2021,13.645298
Hong Kong,HKG,2022,14.111695
Hungary,HUN,2016,15.165745
Hungary,HUN,2017,15.314972
Hungary,HUN,2018,15.596668
Hungary,HUN,2019,15.19504
Hungary,HUN,2020,11.984159
Hungary,HUN,2021,12.683803
Hungary,HUN,2022,14.6771145
Iceland,ISL,2016,18.223927
Iceland,ISL,2017,20.350714
Iceland,ISL,2018,19.991247
Iceland,ISL,2019,18.92942
Iceland,ISL,2020,16.28948
Iceland,ISL,2021,16.498217
Iceland,ISL,2022,18.545908
