WHORegionCode,WHORegionName,CountryIso3,CountryTerritoryArea,IncomeWorldBankJune,Year,AntimicrobialClass,AWaRe,AWaReLabel,RouteOfAdministration,DDD,DID,Note
EUR,European Region,ARM,Armenia,Lower middle income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,5599337.01627,5.255819566,
EUR,European Region,ARM,Armenia,Lower middle income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,65246.5,0.06124365,
EUR,European Region,ARM,Armenia,Lower middle income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,8997.5,0.008445506,
EUR,European Region,ARM,Armenia,Lower middle income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,3020861.65003,2.835532802,
EUR,European Region,ARM,Armenia,Lower middle income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,359117.83338,0.337086075,
EUR,European Region,ARM,Armenia,Lower middle income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,1750.0,0.001642638,
EUR,European Region,ARM,Armenia,Lower middle income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,100.0,9.39e-05,
EUR,European Region,ARM,Armenia,Lower middle income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,1231838.791667,1.156265896,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,8542286.617,8.028755418,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,54990.0,0.051684202,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,16710.0,0.015705456,
