Entity,Code,Year,is_glass_country
Afghanistan,AFG,2024,Both
Albania,ALB,2024,Neither
Algeria,DZA,2024,AMR only
Andorra,AND,2024,Neither
Angola,AGO,2024,AMR only
Antigua and Barbuda,ATG,2024,Neither
Argentina,ARG,2024,AMR only
Armenia,ARM,2024,AMC only
Australia,AUS,2024,AMR only
Austria,AUT,2024,Both
Azerbaijan,AZE,2024,Neither
Bahamas,BHS,2024,Neither
Bahrain,BHR,2024,Both
Bangladesh,BGD,2024,Both
Barbados,BRB,2024,Neither
Belarus,BLR,2024,AMC only
Belgium,BEL,2024,Both
Belize,BLZ,2024,Neither
Benin,BEN,2024,Both
Bhutan,BTN,2024,Both
Bolivia,BOL,2024,Neither
Bosnia and Herzegovina,BIH,2024,AMR only
Botswana,BWA,2024,Both
Brazil,BRA,2024,AMR only
Brunei,BRN,2024,Both
Bulgaria,BGR,2024,Neither
Burkina Faso,BFA,2024,Both
Burundi,BDI,2024,Both
Cambodia,KHM,2024,AMR only
Cameroon,CMR,2024,Both
Canada,CAN,2024,Both
Cape Verde,CPV,2024,AMR only
Central African Republic,CAF,2024,AMR only
Chad,TCD,2024,AMR only
Chile,CHL,2024,Neither
China,CHN,2024,Neither
Colombia,COL,2024,Both
Comoros,COM,2024,Neither
Congo,COG,2024,Both
Cook Islands,COK,2024,Neither
Costa Rica,CRI,2024,Neither
Cote d'Ivoire,CIV,2024,Both
Croatia,HRV,2024,Both
Cuba,CUB,2024,Neither
Cyprus,CYP,2024,Both
Czechia,CZE,2024,Both
Democratic Republic of Congo,COD,2024,AMR only
Denmark,DNK,2024,Both
Djibouti,DJI,2024,AMR only
Dominica,DMA,2024,Neither
Dominican Republic,DOM,2024,Neither
East Timor,TLS,2024,Both
Ecuador,ECU,2024,Both
Egypt,EGY,2024,Both
El Salvador,SLV,2024,Neither
Equatorial Guinea,GNQ,2024,Neither
Eritrea,ERI,2024,AMR only
Estonia,EST,2024,Both
Eswatini,SWZ,2024,AMR only
