Entity,Code,Year,livestock_am_sales
Austria,AUT,2010,62.5599
Austria,AUT,2011,53.16474
Austria,AUT,2012,52.942028
Austria,AUT,2013,54.70048
Austria,AUT,2014,53.389847
Austria,AUT,2015,48.480522
Austria,AUT,2016,44.08682
Austria,AUT,2017,44.58795
Austria,AUT,2018,48.004158
Austria,AUT,2019,40.513107
Austria,AUT,2020,43.66077
Austria,AUT,2021,39.08534
Austria,AUT,2022,34.274273
Belgium,BEL,2010,298.77176
Belgium,BEL,2011,296.9077
Belgium,BEL,2012,270.10715
Belgium,BEL,2013,259.207
Belgium,BEL,2014,265.35718
Belgium,BEL,2015,257.70334
Belgium,BEL,2016,239.91826
Belgium,BEL,2017,220.65315
Belgium,BEL,2018,194.7879
Belgium,BEL,2019,175.05547
Belgium,BEL,2020,180.41914
Belgium,BEL,2021,168.59087
Belgium,BEL,2022,120.20418
Bulgaria,BGR,2011,36.89597
Bulgaria,BGR,2012,38.393894
Bulgaria,BGR,2013,46.538074
Bulgaria,BGR,2014,32.630962
Bulgaria,BGR,2015,46.297836
Bulgaria,BGR,2016,61.039803
Bulgaria,BGR,2017,49.566383
Bulgaria,BGR,2018,47.830296
Bulgaria,BGR,2019,43.449955
Bulgaria,BGR,2020,44.54556
Bulgaria,BGR,2021,48.712143
Bulgaria,BGR,2022,36.954815
Croatia,HRV,2014,31.286997
Croatia,HRV,2015,27.807882
Croatia,HRV,2016,26.571648
Croatia,HRV,2017,21.11965
Croatia,HRV,2018,22.009827
Croatia,HRV,2019,20.07462
Croatia,HRV,2020,22.575935
Croatia,HRV,2021,20.73102
Croatia,HRV,2022,17.094454
Cyprus,CYP,2011,51.73925
Cyprus,CYP,2012,44.972687
Cyprus,CYP,2013,47.89893
Cyprus,CYP,2014,41.72844
Cyprus,CYP,2015,46.87795
Cyprus,CYP,2016,46.320915
Cyprus,CYP,2017,45.4318
Cyprus,CYP,2018,53.42799
Cyprus,CYP,2019,49.38029
Cyprus,CYP,2020,48.280293
Cyprus,CYP,2021,45.07533
Cyprus,CYP,2022,35.586285
Czechia,CZE,2010,71.2445
Czechia,CZE,2011,60.802982
Czechia,CZE,2012,53.660797
Czechia,CZE,2013,57.24433
Czechia,CZE,2014,56.104683
Czechia,CZE,2015,47.493298
Czechia,CZE,2016,43.127472
Czechia,CZE,2017,43.98542
Czechia,CZE,2018,40.112503
Czechia,CZE,2019,37.74696
Czechia,CZE,2020,39.317024
Czechia,CZE,2021,35.466
Czechia,CZE,2022,32.29823
Denmark,DNK,2010,117.9839
Denmark,DNK,2011,104.4425
Denmark,DNK,2012,105.97738
Denmark,DNK,2013,107.503975
Denmark,DNK,2014,105.78498
Denmark,DNK,2015,100.92585
