Entity,Code,Cluster,PC1,PC2,ecoli_resistance_mean,saureus_resistance_mean,consumption_rate_mean,Access_ratio,Watch_ratio,Reserve_ratio,is_glass_country
Afghanistan,AFG,5,-0.4729809078292254,0.8153896320480281,84.414,34.5,18.404130428571428,0.6319527922389873,0.3394623335611165,0.0014890748700229115,2.0
Albania,ALB,3,0.7031509429205448,-0.1257289589868228,31.889999999999997,34.5,18.404130428571428,0.6319527922389873,0.3394623335611165,0.0014890748700229115,0.0
United Arab Emirates,ARE,5,0.051571517860114754,0.13796455680222153,49.666,34.44,18.404130428571428,0.6319527922389873,0.3394623335611165,0.0014890748700229115,2.0
Argentina,ARG,3,0.5995390577770577,-0.2791076389529614,19.669999999999998,40.452,18.404130428571428,0.6319527922389873,0.3394623335611165,0.0014890748700229115,1.0
Australia,AUS,3,1.0645452941396507,-0.8860727832748266,13.036666666666667,17.676666666666666,18.404130428571428,0.6319527922389873,0.3394623335611165,0.0014890748700229115,1.0
Austria,AUT,0,1.1314311316744896,-1.9942451166619386,9.290000000000001,5.029999999999999,10.99252557142857,0.6072907318015823,0.3783688718847852,0.005823808550084361,2.0
Belgium,BEL,0,1.3714434541605303,-0.9193219784421179,9.33,5.495,21.081446857142854,0.6672857704440804,0.3032617179491608,0.0012547705267286892,2.0
Burkina Faso,BFA,4,0.08567671371886167,3.042148616172556,63.64,100.0,20.276953,0.7826268286598606,0.21211544867703078,0.0,2.0
Bangladesh,BGD,1,-3.810472679173262,-1.5211515791722734,78.17666666666666,34.5,31.180535285714285,0.34290612710032425,0.64147012763387,0.0016076862510846469,2.0
Bahrain,BHR,5,-0.030393006988630594,0.2444344160926127,52.775999999999996,36.63,18.404130428571428,0.6319527922389873,0.3394623335611165,0.0014890748700229115,2.0
Bosnia and Herzegovina,BIH,3,0.8851832850639415,-0.6540366573585006,23.41,19.115,18.404130428571428,0.6319527922389873,0.3394623335611165,0.0014890748700229115,1.0
Brazil,BRA,3,0.99008688751666,-0.791274660890923,23.073333333333334,12.886666666666665,18.404130428571428,0.6319527922389873,0.3394623335611165,0.0014890748700229115,1.0
Brunei,BRN,0,1.4458498511059366,-0.5956329373731989,15.706666666666665,13.13,18.404130428571428,0.6979570213702305,0.2968663152538528,0.0020855059970471975,2.0
Bhutan,BTN,4,2.8846183667378864,1.7822382024969334,55.355000000000004,16.23,10.899416,0.8823304199067517,0.11759497004787924,7.4610045369138e-05,2.0
Switzerland,CHE,0,1.3805256360752012,-1.4930112582849218,9.985,8.108333333333334,10.5181795,0.6319527922389873,0.34220846934307936,0.0037751449651638176,2.0
