Year,Country,Avg_Resistance_%
2000,Austria,17.8
2000,Belgium,20.85
2000,Bulgaria,40.2
2000,Czechia,4.27
2000,Denmark,0.2
2000,Estonia,
2000,Finland,1.36
2000,Germany,9.2
2000,Greece,21.01
2000,Iceland,2.5
2000,Ireland,37.96
2000,Italy,44.26
2000,Luxembourg,17.91
2000,Malta,35.53
2000,Netherlands,4.83
2000,Norway,3.61
2000,Portugal,25.17
2000,Slovenia,21.05
2000,Spain,29.4
2000,Sweden,0.61
2000,United Kingdom,41.44
2001,Austria,15.76
2001,Belgium,12.25
2001,Bulgaria,14.14
2001,Croatia,16.02
2001,Czechia,16.09
2001,Denmark,0.77
2001,Estonia,8.9
2001,Finland,10.83
2001,France,33.37
2001,Germany,17.43
2001,Greece,25.23
2001,Hungary,7.28
2001,Iceland,7.01
2001,Ireland,42.61
2001,Italy,25.53
2001,Luxembourg,8.14
2001,Malta,15.14
2001,Netherlands,11.95
2001,Norway,7.83
2001,Poland,15.74
2001,Portugal,22.44
2001,Slovakia,11.04
2001,Slovenia,12.18
2001,Spain,15.79
2001,Sweden,10.41
2001,United Kingdom,18.08
2002,Austria,15.3
2002,Belgium,15.01
2002,Bulgaria,22.67
2002,Croatia,14.38
2002,Czechia,19.0
2002,Denmark,0.93
2002,Estonia,8.85
2002,Finland,11.36
2002,France,12.17
2002,Germany,17.39
2002,Greece,26.26
2002,Hungary,8.26
2002,Iceland,3.21
2002,Ireland,21.43
2002,Italy,24.62
2002,Luxembourg,8.9
2002,Malta,12.41
2002,Netherlands,9.19
2002,Norway,7.41
2002,Poland,17.45
2002,Portugal,18.87
2002,Romania,21.31
2002,Slovakia,11.59
2002,Slovenia,12.37
2002,Spain,17.53
2002,Sweden,10.61
2002,United Kingdom,18.66
2003,Austria,16.79
2003,Belgium,13.29
2003,Bulgaria,20.0
2003,Croatia,17.54
2003,Cyprus,21.43
2003,Czechia,20.95
2003,Denmark,0.6
2003,Estonia,8.12
2003,Finland,12.6
2003,France,12.62
2003,Germany,19.56
2003,Greece,24.89
2003,Hungary,27.86
2003,Iceland,7.29
2003,Ireland,24.68
2003,Italy,27.38
2003,Luxembourg,12.49
2003,Malta,15.73
2003,Netherlands,10.83
2003,Norway,9.17
2003,Poland,23.46
2003,Portugal,31.18
2003,Romania,25.06
2003,Slovakia,12.72
2003,Slovenia,21.68
2003,Spain,17.76
2003,Sweden,11.99
2003,United Kingdom,19.79
2004,Austria,16.72
2004,Belgium,17.5
2004,Bulgaria,26.0
2004,Croatia,21.07
2004,Cyprus,23.37
2004,Czechia,20.83
2004,Denmark,1.25
2004,Estonia,11.73
2004,Finland,12.97
2004,France,13.75
2004,Germany,23.73
2004,Greece,25.98
2004,Hungary,26.1
2004,Iceland,6.55
2004,Ireland,26.5
2004,Italy,26.44
2004,Latvia,25.29
2004,Luxembourg,10.42
2004,Malta,21.12
2004,Netherlands,12.13
2004,Norway,11.69
2004,Poland,13.17
2004,Portugal,32.28
2004,Romania,32.96
2004,Slovakia,17.48
2004,Slovenia,18.46
2004,Spain,19.16
2004,Sweden,11.28
2004,United Kingdom,20.12
2005,Austria,13.12
2005,Belgium,20.32
2005,Bulgaria,31.5
2005,Croatia,22.37
2005,Cyprus,26.27
2005,Czechia,25.38
2005,Denmark,6.97
2005,Estonia,17.87
2005,Finland,10.29
2005,France,13.91
2005,Germany,17.41
2005,Greece,32.61
2005,Hungary,21.68
2005,Iceland,3.65
2005,Ireland,17.71
2005,Italy,22.9
2005,Latvia,9.92
2005,Luxembourg,14.35
2005,Malta,18.76
2005,Netherlands,10.9
2005,Norway,8.66
2005,Poland,32.54
2005,Portugal,32.43
2005,Romania,38.16
2005,Slovakia,16.08
2005,Slovenia,17.27
2005,Spain,14.16
2005,Sweden,8.0
2005,United Kingdom,16.34
2006,Austria,13.52
2006,Belgium,19.77
2006,Bulgaria,29.39
2006,Croatia,23.06
2006,Cyprus,17.84
2006,Czechia,27.28
2006,Denmark,9.39
2006,Estonia,14.77
2006,Finland,10.27
2006,France,14.01
2006,Germany,17.83
2006,Greece,34.14
2006,Hungary,20.23
2006,Iceland,7.52
2006,Ireland,19.02
